SOURCE;COUNTRY CODE;NAME;DESCRIPTION
FWF;AT;Fonds zur Förderung der wissenschaftlichen Forshung;"The Austrian Science Fund Fonds zur Förderung der wissenschaftlichen Forshung (FWF) is Austria's central body for the promotion of basic research. It is equally committed to all fields of science and the humanities and in all its activities is guided solely by the standards of the international scientific community. The FWF's corporate policy is to strengthen science and the humanities in Austria by funding high-quality scientific research, by supporting education and training through research and by fostering knowledge transfer and a science-friendly culture by means of an exchange between science and other areas of society. The aims of the FWF are the continued improvement of science in Austria and an increase of its international competitiveness, an enhancement of the qualifications of young scientists and a strengthening of the awareness that science represents a significant aspect of our culture.<BR>
The FWF was funded by the Austrian government in1968 as an independent and autonomous body for the support and the promotion of basic research in Austria. All decision making bodies of the FWF are comprised almost exclusively of full professors at Austrian universities; representatives from the government have observer status.<BR>
In 2004, the FWF’s total budget amounts to approximately 96 million €. Of this, about 60% is provided by the government. About 70% of the FWF’s budget is spent on research grants to individual scientists, who are usually funded for three years, and about 20% on research networks, with the rest allocated mainly to mobility fellowships (for Austrian researchers to study abroad and for scientists from abroad to work in Austria) and to the promotion of women (special support programmes). Additionally, the FWF administers programmes for outstanding researchers on behalf of the Ministry of Science. All of the FWF’s funding categories presently operate in a bottom-up manner and all proposals are subjected to an international peer review process. Final reports from projects are also reviewed.<BR>
<b>Biodiversity and related research</b><BR>
The funding of projects in the field of biodiversity falls within the scope of the Division of Biology and Medicine. In 2003, the FWF granted six new projects in the field of biodiversity with a total budget of approx. 960,000 €. The total number of biodiversity research projects administered by the FWF at the present date is 25." 
HunCRIS;HU;;
JNCC;GB;;
MARA;TR;;
MEC;ES;;
MEDDM;FR;Ministère de l'Ecologie, de l'Energie, du Développement Durable et de la mer;"Ministère de l'Ecologie, de l'Energie, du Développement Durable et de la Mer - MEEDDM,(formerly MEEDDAT) was established in 1971, as the Ministry for the Protection of Nature and the Environment. (http://www.ecologie.gouv.fr/rubrique.php3?id_rubrique=311)<BR>
Over the last twenty years, the responsibilities of the Ministry have expanded to reflect increasing national and international awareness of environmental issues. The MEEDDM’s mission is to monitor the quality of the environment, protect nature, prevent, reduce or totally eliminate pollution and other nuisances, and enhance the quality of life. MEEDDM is in charge of the implementation of the 2010 Target. It undertakes two different types of actions.<BR>
The first are aimed at preserving and protecting spaces and species. It includes prevention of pollution and major risks, nature conservation, protection of landscapes and sites and management of water resources.<BR>
The second are aimed at developing research, improving knowledge of the state of the environment and taking account of our concerns at both the European and international levels.<BR>
Both these types of activities also contribute to education, training, raising awareness and informing all the actors, whether public or private, who contribute to environment protection.<BR>
MEEDDM’s Department of Economic Studies and Environmental Evaluation (D4E) and its Research and futures studies service support policy oriented research on environment, including policy oriented research on nature and biodiversity. Basic research is also conducted by the Public Research Organisms which coordinates their priorities and programmes within the Frecnh Foundation for Research on Biodiversity (FRB).<BR>
Among the 20 research programmes funded by the MEEDDM, many are related to nature and biodiversity : programme on wetlands, coastal waters, agriculture and biodiversity, tropical ecosystems, protected areas, biodiversity and forest management etc. The Orientation Committees (steering committees) associated to these programmes bring together stakeholders and decision makers concerned with nature and biodiversity policies, and ensure that the calls for proposals and the research projects selected are useful for these public policies. FRB is represented in these steering committees.<BR>
The average total annual budget of the applied research projects on nature and biodiversity funded by MEEDDM under these programmes is circa 3 millions of euros per year (free of salaries)."
MIUR;IT;;
NERC;GB;Natural Environment Research Council;"The UK Natural Environment Research Council (NERC) provides independent research and training in the environmental sciences. It gathers and applies knowledge, improves understanding and predicts the behaviour of the natural environment and its resources. It is one of the seven UK Research Councils that fund and manage scientific research and training in the UK. NERC is the research council that does earth system science: focusing on advancing knowledge of planet Earth as a complex, interacting system.<BR>
Total grant-in-aid from the UK Government is £224.5 million, supplemented by £35.6 million external funding. It directly employs 2596 staff and supports 965 staff in higher education institutes, 70 Research Fellows, 1017 PhD students and 337 Masters students. Relevant current thematic programmes include 'Soil Biodiversity', 'Environmental Genomics', 'Post-Genomics and Proteomics', 'Geneflow in Plants and Micro-organisms', ‘Rural Economies and Land Use’ and 'Marine Productivity'. Around 16% of NERC's total expenditure (i.e. 53.6 million euros) is classified as 'biodiversity'. This includes expenditure in NERC's Research and Collaborative Centres, including the Centre for Ecology and Hydrology (which has one of its five divisions devoted to terrestrial freshwater and microbial biodiversity), the Southampton Oceanographic Centre, the Plymouth Marine Lab and the Centre for Population Biology."
NWO;NL;Netherlands Organisation for Scientific Research;"NWO, the Netherlands Organisation for Scientific Research, is the national research council of the Netherlands located in The Hague, the administrative capital of the Netherlands. An independent organisation, NWO has a legally defined task to promote scientific research at Dutch universities and research institutes and to raise the quality of that research in all scientific disciplines. NWO is a largely decentralised organisation governed by a General Board consisting of senior Dutch researchers. NWO comprises seven disciplinary research councils and various thematic steering bodies, each with its own governing board. The General Board and councils are supported by several central departments, e.g. for national policy and for international relations. Innovation by open, competitive funding is a key element in NWO activities. Different ministries contribute to the annual budget of approximately 450 M€, with core funding provided by the Ministry of Education, Culture and Science.<BR>
<b>International strategy and activities</b><BR>
In the current NWO strategy, international cooperation is a key element, with a pro-active attitude towards creating a European Research Area. NWO supports broad scientific co-operation at international and, in particular, European level. It works closely together with sister organisations and collaborates in programmes to facilitate the shared use of large research infrastructures. Enhanced cooperation among European research funding organisations is and will be one of the main objectives for international strategy. NWO is an active member of the European Science Foundation (ESF). The President of NWO is current Vice-President of the European Heads of Research Councils (EuroHORCS) and will be President from 1 January 2005 onwards. NWO participates in 15 ERA-net initiatives, of which three as coordinator. Furthermore, NWO was involved in the set-up of the first Article 169 initiative (EDCTP) and hosts its international secretariat.<BR>
<b>Biodiversity research</b><BR>
At NWO biodiversity research is funded mainly through the Earth and Life Sciences Council, in cooperation with the Netherlands Foundation for the Advancement of Tropical Research (WOTRO) and the Social Sciences Council. NWO allocates a total of >15 M€ annually for biodiversity research by (1) core funding for the Royal Netherlands Institute for Sea Research; (2) the execution of (currently five) thematic research programmes in the field of biodiversity; (3) providing investment grants for infrastructure (amongst others: digitisation of taxonomic data); (4) initiating of and participating in EuroDiversity, an ESF EUROCORES on biodiversity; (5) funding biodiversity research project selected in bottom-up, open competition. Furthermore, NWO provides (core) funding for international initiatives such as Diversitas and the Global Biodiversity Information Facility (GBIF) and its national version, NL-BIF. NWO is one the originators of the Dutch Biodiversity Platform. At present, plans are being developed for a new national biodiversity research programme in cooperation with the Dutch government and the scientific community."
PT_DLR;DE;Projektträger im Deutschen Zentrum für Luft- und Raumfart e.V.;"Projektträger im Deutschen Zentrum für Luft- und Raumfart e.V. is a service body providing support to several Federal Ministries in research funding and policy implementation. Its principal areas of work include education research, health and environmental research, funding programmes in the humanities, information technology, multimedia and microelectronics, work environmental research as well as promoting gender equality in the sciences.<BR>
PT-DLR is an equal opportunity employer with a total staff of 503, 32 of which work in the department for Environmental Research and Technology (PT-UF). In 2003 PT-DLR provided 638 million euros to research institutions to realize 4334 individual research projects.<BR>
The quality of the work of the PT-DLR is continuously monitored and certified according to ISO 9002 standards.<BR>
<b>Biodiversity and related research</b><BR>
The department PT-UF is responsible for Global Change Research of BMBF. As part of this topic in 2003 a yearly budget of about 15 millions euros was used to fund biodiversity research projects within 6 different programmes (BIOLOG, BioTeam, Mata Atlântica, GBIF, SHIFT, B&A) (see: www.biolog-online.info).<BR>
<b>PT-DLR in BiodiveERsA</b><BR>
PT-DLR will support the proposed project with own resources. Currently 50% of the personnel expenses are billed as overhead. Thus, the 20% upper limit imposed by EU funding requires coverage of the remaining overhead by own resources, which include office personnel, administrative support, infrastructure, a department for personnel, technical service, public relations and quality control."
RCL;LT;;
RCN;NO;The Research Council of Norway;"The Research Council of Norway (RCN) plays a vital role in developing and implementing the country's national research strategy. It acts as:<BR>
<UL>
<LI>a government adviser, identifying present and future needs for knowledge and research.</LI>
<LI>a funding agency for independent research programmes and projects, strategic programmes at research institutes, and Norwegian participation in international research programmes.</LI>
<LI>a co-ordinator, initiating networks and promoting co-operation between R&D institutions, ministries, business and industry, public agencies and enterprises, other sources of funding, and users of research.</LI>
</UL>
Approximately one third of Norway's public sector research investment is channelled through the Research Council. The remainder is transferred directly from the ministries to the relevant research institutions. In 2003 RCN had a budget of NOK 4,4 billion (approximately 500 million euros). The Research Council operates a Biodiversity Research Programme with a yearly budget of approximately 2 million EUROS, funded by five different Ministries."
SEPA;SE;Swedish Environmental Protection Agency;"The Swedish Environmental Protection Agency (SEPA) is a national environmental authority under the Swedish Government and the Ministry of the Environment. Its mission is to coordinate and drive forward environmental work nationally and internationally. SEPA coordinates the implementation of the Convention on Biodiversity in Sweden, and is in particular responsible for the protection of habitats and species and for environmental monitoring and follow up.<BR>
<b>Biodiversity and related research</b><BR>
Most of the work of SEPA relies on scientific research to underpin policy development, implementation and assessment, and therefore SEPA receives research funding, approximately 11 million euros per year, from the government. This funding is a smaller part of the total public sector Swedish research funding devoted to environmental issues. SEPA is currently spending about 2 million euros per year to carry out three thematic biodiversity research programmes (the Nature Conservation Chain, MARBIPP and Aqualiens). In addition, SEPA allocates funding for game research and research on adaptive management of biological resources.<BR>
A new programme recently started is “Adaptive management of Fish and Wildlife Populations’’ with 9 projects and a budget of 800,000 € in addition to 2 million already mentioned.<BR>
SEPA is actively participating in EPBRS and is partner of the thematic network BioPlatform European Platform for Biodiversity, funded by the Commission within the 5th EU Framework Programme.<BR>
In summary for SEPA, we have 2, 800,000 euros spent and 39 projects."
VR;SE;;
